arm                    trades    mean%    win%     book$    maxDD   ex3best$ SPY/QQQ/IWM mean%
train_base                283    -3.04    32.9     11102     6781       4259 0.46/-4.62/-4.91
train_H1                  285    -4.51    34.4      6695    10739       1848 -1.45/-5.43/-6.61
train_H2                  238    -1.76    28.6     17448     9306       6517 2.07/-3.52/-3.71
train_H3                  284    -3.71    33.1      8877     7601       3707 -2.08/-4.31/-4.69
train_H4                  321    -2.54    33.3      5314     6775       2366 -0.53/-4.19/-2.97
train_H5                  282    -1.98    33.0     10976     6399       5502 1.18/-2.65/-4.28
train_E1                  300    -3.16    33.3      9707     7924       3555 0.23/-4.45/-5.08
train_E2                  260    -7.17    20.8      5209    10352       2419 -2.62/-8.2/-10.54
train_X_tp1.5             241    -5.77    38.6      2702     8261       1510 -4.73/-8.11/-4.9
train_X_tp2               228    -6.41    27.2      2420    12539       1219 -5.28/-6.9/-7.13
train_X_tp1.5_stress      241    -7.42    37.8      1971     8739       1058 -6.81/-9.24/-6.55
train_X_tp2_stress        228    -8.05    26.8      1869    12962        952 -7.17/-8.26/-8.74
train_base_s1             280    -7.00    28.2      4476    10703       1778 -5.44/-7.72/-7.85
holdout_base_info          40    -5.54    30.0      8649     1986       7890 -6.8/-11.48/-0.26
all_base_info             333    -3.76    31.5      8612     7194       3051 -0.74/-5.97/-4.54
